"一星等" "五星等" "一星等.y"
"" "想方設法" NA
"" "從小" NA
"" "哈哈" NA
"" "不像" NA
"" "徜" NA
"" "京急" NA
"" "偏舊" NA
"" "後悔" NA
"" "專用" NA
"" "投降" NA
"" "區的" NA
"" "感想" NA
"" "嘗到" NA
"" "不大" NA
"" "領完" NA
"" "需約" NA
"" "無奈" NA
"" "到訪" NA
"" "大田" NA
"" "性價比" NA
"" "如下" NA
"" "不愧" NA
"" "走道" NA
"" "新奇" NA
"" "通常" NA
"" "硬" NA
"" "檸檬" NA
"" "椅背" NA
"" "日元" NA
"" "詳細" NA
"" "就要" NA
"" "睡到" NA
"" "眾多" NA
"" "不趕" NA
"" "難吃" NA
"" "教" NA
"" "東京國際" NA
"" "三明治" NA
"" "吐" NA
"" "幹" NA
"" "餐在" NA
"" "航點" NA
"" "位" NA
"" "有緣" NA
"" "有帶" NA
"" "本" NA
"" "瑞憲" NA
"" "而過" NA
"" "提早去" NA
"" "起降" NA
"" "忽悠" NA
"" "畫面" NA
"" "郵件" NA
"" "擺" NA
"" "值得稱讚" NA
"" "駕駛" NA
"" "家母" NA
"" "物籃" NA
"" "玩具" NA
"" "嘰嘰" NA
"" "環流" NA
"" "隨身" NA
"" "服務業" NA
"" "省" NA
"" "中南部" NA
"" "談吐" NA
"" "減速" NA
"" "刮目相看" NA
"" "公共" NA
"" "治安" NA
"" "代表" NA
"" "別家" NA
"" "能力" NA
"" "項目" NA
"" "九州" NA
"" "變化" NA
"" "十五分鐘" NA
"" "早班" NA
"" "冰棒" NA
"" "左搖右" NA
"" "吵雜" NA
"" "製" NA
"" "好點" NA
"" "灣" NA
"" "忘記" NA
"" "一個多" NA
"" "兒童" NA
"" "拖泥帶水" NA
"" "其" NA
"" "五百多" NA
"" "肉質" NA
"" "啊" NA
"" "拼命" NA
"" "顯示" NA
"" "悠久" NA
"" "柿" NA
"" "無須" NA
"" "汙穢" NA
"" "相對" NA
"" "的確" NA
"" "輕些" NA
"" "悠閒" NA
"" "進站" NA
"" "短途" NA
"" "節省" NA
"" "上前" NA
"" "一天" NA
"" "港" NA
"" "點先" NA
"" "家累" NA
"" "相關" NA
"" "優先選擇" NA
"" "高級" NA
"" "亞洲" NA
"" "熟悉" NA
"" "話" NA
"" "尊稱" NA
"" "辦" NA
"" "各項" NA
"" "交通" NA
"" "提" NA
"" "不耐煩" NA
"" "粥" NA
"" "中規中矩" NA
"" "反" NA
"" "謝意" NA
"" "算" NA
"" "額外" NA
"" "有幸" NA
"" "身上" NA
"" "姊" NA
"" "市" NA
"" "提出" NA
"" "品川" NA
"" "價格合理" NA
"" "沙拉" NA
"" "入" NA
"" "飽到" NA
"" "很忙" NA
"" "不知不覺" NA
"" "耶" NA
"" "充足" NA
"" "所選" NA
"" "等等" NA
"" "順口" NA
"" "先計畫" NA
"" "兩人" NA
"" "雖說" NA
"" "兩部" NA
"" "除夕" NA
"" "義大利" NA
"" "以內" NA
"" "推推" NA
"" "都給" NA
"" "支撐" NA
"" "未必" NA
"" "咱們" NA
"" "乘機" NA
"" "進去" NA
"" "牌鋁殼" NA
"" "坐好" NA
"" "舟車勞頓" NA
"" "內心" NA
"" "悠遊" NA
"" "金錢" NA
"" "餅乾" NA
"" "網路" NA
"" "簽轉" NA
"" "偶然" NA
"" "商店" NA
"" "新上" NA
"" "數百人" NA
"" "反應" NA
"" "極為" NA
"" "主力" NA
"" "請客" NA
"" "必要" NA
"" "匆忙" NA
"" "指定" NA
"" "各家" NA
"" "記錄" NA
"" "從未" NA
"" "周圍" NA
"" "因冠" NA
"" "問我" NA
"" "之間" NA
"" "自我介紹" NA
"" "心" NA
"" "當中" NA
"" "起飛時間" NA
"" "編排" NA
"" "隊伍" NA
"" "明明" NA
"" "口齒" NA
"" "不差" NA
"" "端" NA
"" "熱熱" NA
"" "過" NA
"" "附加" NA
"" "回台灣" NA
"" "並且" NA
"" "小巫見大巫" NA
"" "肚子餓" NA
"" "一流" NA
"" "天合" NA
"" "普普通通" NA
"" "未到" NA
"" "大大" NA
"" "更好" NA
"" "更加" NA
"" "處處" NA
"" "機餐" NA
"" "不同" NA
"" "農曆" NA
"" "大多" NA
"" "市中心" NA
"" "米糧" NA
"" "型" NA
"" "卡" NA
"" "台灣味" NA
"" "控制" NA
"" "火腿" NA
"" "壅" NA
"" "好處" NA
"" "松山區" NA
"" "值" NA
"" "東南亞" NA
"" "便利性" NA
"" "各大" NA
"" "因春" NA
"" "夫妻" NA
"" "順序" NA
"" "甜美" NA
"" "清晨" NA
"" "多位" NA
"" "山驛" NA
"" "理由" NA
"" "粉刷" NA
"" "點半" NA
"" "計算" NA
"" "預訂" NA
"" "生日" NA
"" "中是" NA
"" "建築物" NA
"" "指引" NA
"" "可供" NA
"" "改艙" NA
"" "走進" NA
"" "小寶寶" NA
"" "鈴也" NA
"" "稍" NA
"" "嚇了一跳" NA
"" "疲憊" NA
"" "丁姓" NA
"" "掛到" NA
"" "大而" NA
"" "出自於" NA
"" "酒品" NA
"" "太大" NA
"" "整齊乾淨" NA
"" "數量" NA
"" "臺灣" NA
"" "後面" NA
"" "政策" NA
"" "銷售" NA
"" "退步" NA
"" "坐經" NA
"" "輸送帶" NA
"" "駕駛艙" NA
"" "不佳" NA
"" "總結" NA
"" "執非" NA
"" "穩的氣" NA
"" "味" NA
"" "互動式" NA
"" "領到" NA
"" "餐後都會" NA
"" "一切" NA
"" "長達" NA
"" "最怕" NA
"" "一切都是" NA
"" "而當" NA
"" "釋放出來" NA
"" "光線" NA
"" "戰利品" NA
"" "物" NA
"" "還會用" NA
"" "搖晃" NA
"" "加強" NA
"" "出色" NA
"" "太老舊" NA
"" "吵鬧" NA
"" "營幕" NA
"" "很美" NA
"" "專屬" NA
"" "人體工學" NA
"" "泰語" NA
"" "略勝" NA
"" "字" NA
"" "距" NA
"" "躁動" NA
"" "化解" NA
"" "有目共睹" NA
"" "掌握" NA
"" "小睡" NA
"" "輔助" NA
"" "要點" NA
"" "傳統" NA
"" "通關" NA
"" "成正比" NA
"" "簡單" NA
"" "很漂亮" NA
"" "舒適性" NA
"" "準確無誤" NA
"" "付" NA
"" "找到" NA
"" "排餐" NA
"" "山水" NA
"" "迷路" NA
"" "短暫" NA
"" "叫" NA
"" "這台並" NA
"" "吃得飽" NA
"" "隔天" NA
"" "親切感" NA
"" "印" NA
"" "尾聲" NA
"" "習慣" NA
"" "相連" NA
"" "滑嫩" NA
"" "扣分" NA
"" "空位" NA
"" "滷蛋" NA
"" "動" NA
"" "看書" NA
"" "自備" NA
"" "言喻" NA
"" "跨洲" NA
"" "好看" NA
"" "餐均" NA
"" "主" NA
"" "理解" NA
"" "服員較" NA
"" "餐蠻" NA
"" "趨近" NA
"" "名稱" NA
"" "客服" NA
"" "關西" NA
"" "年" NA
"" "並不比" NA
"" "快點" NA
"" "錯失" NA
"" "嘔吐" NA
"" "溫馨" NA
"" "汰舊換新" NA
"" "回飛" NA
"" "外面" NA
"" "高於" NA
"" "步行" NA
"" "適當" NA
"" "典雅" NA
"" "還大" NA
"" "延遲" NA
"" "很貴" NA
"" "櫃都" NA
"" "化" NA
"" "要續" NA
"" "信任" NA
"" "因而" NA
"" "空港" NA
"" "很好" NA
"" "小說" NA
"" "大幅" NA
"" "囉" NA
"" "聽不懂" NA
"" "一度" NA
"" "機位" NA
"" "運輸" NA
"" "煥然一新" NA
"" "歷史" NA
"" "疲勞感" NA
"" "包內" NA
"" "整台" NA
"" "托" NA
"" "前一天" NA
"" "烏龍" NA
"" "國外" NA
"" "節省時間" NA
"" "確保" NA
"" "空乘" NA
"" "發完" NA
"" "附贈" NA
"" "休憩" NA
"" "應付" NA
"" "基本" NA
"" "航" NA
"" "網路上" NA
"" "腿部" NA
"" "十分鐘" NA
"" "很晚" NA
"" "雖因" NA
"" "木紋" NA
"" "突出" NA
"" "我品" NA
"" "放鬆" NA
"" "還在" NA
"" "市區" NA
"" "您們" NA
"" "住宿費" NA
"" "半個" NA
"" "語彙" NA
"" "時空" NA
"" "夜晚" NA
"" "情形" NA
"" "松山機場" NA
"" "後果" NA
"" "探險" NA
"" "圖案" NA
"" "想住" NA
"" "工時" NA
"" "遜" NA
"" "飛回" NA
"" "臨危" NA
"" "不再" NA
"" "全世界" NA
"" "稱乎" NA
"" "氣質" NA
"" "遲頓" NA
"" "生命安全" NA
"" "女友" NA
"" "較能" NA
"" "熱湯" NA
"" "官方網站" NA
"" "尷尬" NA
"" "己見" NA
"" "分享" NA
"" "孩子" NA
"" "羊毛" NA
"" "常常" NA
"" "著實" NA
"" "限制" NA
"" "第一排" NA
"" "未滿" NA
"" "愈來愈好" NA
"" "靠窗" NA
"" "最長" NA
"" "肚子" NA
"" "服務項目" NA
"" "牆" NA
"" "和藹" NA
"" "先生" NA
"" "說好" NA
"" "泰國人" NA
"" "差一點" NA
"" "外國" NA
"" "上餐" NA
"" "疲態" NA
"" "三" NA
"" "遞送" NA
"" "拖鞋" NA
"" "純粹" NA
"" "託" NA
"" "當我" NA
"" "講求" NA
"" "颱風" NA
"" "買票" NA
"" "介面" NA
"" "時有" NA
"" "較大" NA
"" "回應" NA
"" "平板" NA
"" "塞機" NA
"" "塞" NA
"" "飛經" NA
"" "電燈" NA
"" "顏色" NA
"" "搭載" NA
"" "樂意" NA
"" "很夠" NA
"" "親善" NA
"" "吃吃喝喝" NA
"" "餐外" NA
"" "況且" NA
"" "一會" NA
"" "郵驛" NA
"" "比價" NA
"" "定時" NA
"" "相同" NA
"" "春節" NA
"" "盡職" NA
"" "未現" NA
"" "必須" NA
"" "解決問題" NA
"" "有效" NA
"" "目的" NA
"" "優點" NA
"" "俐落" NA
"" "甚麼" NA
"" "一片" NA
"" "以上" NA
"" "是講" NA
"" "端過來" NA
"" "設計師" NA
"" "同時" NA
"" "時共托運" NA
"" "西安" NA
"" "上面" NA
"" "精神" NA
"" "回家" NA
"" "採取" NA
"" "有位" NA
"" "總重量" NA
"" "交通部" NA
"" "怎麼" NA
"" "政府" NA
"" "條件" NA
"" "法人代表" NA
"" "做出" NA
"" "維繫" NA
"" "梅花" NA
"" "放手一搏" NA
"" "損益" NA
"" "歉意" NA
"" "有種" NA
"" "空中小姐" NA
"" "極度" NA
"" "妥協" NA
"" "看似" NA
"" "福" NA
"" "不靈敏" NA
"" "威脅" NA
"" "拿到" NA
"" "帳握" NA
"" "不堪" NA
"" "造訪" NA
"" "確認" NA
"" "看來" NA
"" "訴求" NA
"" "蛋糕" NA
"" "任何人" NA
"" "叫囂" NA
"" "花花" NA
"" "區" NA
"" "儘量避免" NA
"" "人家" NA
"" "無疑" NA
"" "來換" NA
"" "策略" NA
"" "洲際" NA
"" "利潤" NA
"" "著著" NA
"" "冬天" NA
"" "飽" NA
"" "從進" NA
"" "節假日" NA
"" "取完" NA
"" "流程" NA
"" "特調" NA
"" "超順" NA
"" "包容" NA
"" "性" NA
"" "則是" NA
"" "輕快" NA
"" "中空" NA
"" "稱呼" NA
"" "超好" NA
"" "老牌子" NA
"" "窩心" NA
"" "問" NA
"" "李與" NA
"" "還新" NA
"" "人吧" NA
"" "輕切" NA
"" "好用" NA
"" "手續" NA
"" "待人" NA
"" "大約" NA
"" "身高" NA
"" "細" NA
"" "過後" NA
"" "小孩子" NA
"" "不吃" NA
"" "老公" NA
"" "札幌" NA
"" "地被" NA
"" "捨棄" NA
"" "事前" NA
"" "盡責" NA
"" "上網" NA
"" "一個舒服" NA
"" "豐盛" NA
"" "腰" NA
"" "守治序" NA
"" "訪友" NA
"" "波音" NA
"" "有佩佩豬" NA
"" "湯瑪士" NA
"" "火車" NA
"" "一到" NA
"" "數據" NA
"" "還幫" NA
"" "溫度" NA
"" "人工" NA
"" "艙要" NA
"" "曾經" NA
"" "唸" NA
"" "重視" NA
"" "牙刷" NA
"" "說試" NA
"" "觀世音" NA
"" "渡過" NA
"" "天荒地老" NA
"" "遺憾" NA
"" "超乎" NA
"" "冰凍" NA
"" "未" NA
"" "剛" NA
"" "左" NA
"" "三排" NA
"" "右" NA
"" "排座位" NA
"" "稍嫌" NA
"" "副" NA
"" "性別" NA
"" "國宅" NA
"" "這讓" NA
"" "烏龍茶" NA
"" "苦澀" NA
"" "孔及" NA
"" "泰" NA
"" "堡" NA
"" "瞪" NA
"" "間距" NA
"" "款型" NA
"" "不卑不亢" NA
"" "理想" NA
"" "台籍" NA
"" "影響" NA
"" "縮短" NA
"" "難以" NA
"" "滿棒" NA
"" "取出" NA
"" "晚上" NA
"" "點多" NA
"" "機捷" NA
"" "站" NA
"" "搭泰航" NA
"" "買賣" NA
"" "後方" NA
"" "茶葉蛋" NA
"" "哪家" NA
"" "垃圾" NA
"" "幾排" NA
"" "不夠" NA
"" "特殊" NA
"" "熱度" NA
"" "關鍵" NA
"" "引導" NA
"" "航廈" NA
"" "先到" NA
"" "屬於" NA
"" "終於" NA
"" "過去" NA
"" "較貴" NA
"" "一碗" NA
"" "積極" NA
"" "發餐" NA
"" "隨選" NA
"" "要加" NA
"" "發放" NA
"" "講" NA
"" "心想" NA
"" "很常" NA
"" "慢" NA
"" "歪歪" NA
"" "末班車" NA
"" "奧克蘭" NA
"" "帶上" NA
"" "雅加達" NA
"" "之一" NA
"" "保留" NA
"" "機到" NA
"" "好脾氣" NA
"" "交錯" NA
"" "預選" NA
"" "吃不下" NA
"" "閒話家常" NA
"" "經濟" NA
"" "預算" NA
"" "想帶" NA
"" "備有" NA
"" "成行" NA
"" "訂購" NA
"" "獲得" NA
"" "先前" NA
"" "凹" NA
"" "葉縣" NA
"" "坐過" NA
"" "家庭" NA
"" "航機" NA
"" "搭上" NA
"" "機種" NA
"" "選用" NA
"" "一一" NA
"" "尋找" NA
"" "咖啡" NA
"" "我放" NA
"" "哪邊" NA
"" "意料" NA
"" "標準" NA
"" "早晨" NA
"" "安全感" NA
"" "熱忱" NA
"" "不隱定" NA
"" "不斷" NA
"" "加料" NA
"" "差邊" NA
"" "慮" NA
"" "倒" NA
"" "遙控器" NA
"" "一小" NA
"" "齊備" NA
"" "絨布" NA
"" "細節" NA
"" "魚肉" NA
"" "流暢" NA
"" "作為" NA
"" "執得" NA
"" "簡直" NA
"" "加入" NA
"" "近幾年" NA
"" "罐頭" NA
"" "制服" NA
"" "酒單" NA
"" "粉紅" NA
"" "要來" NA
"" "滿大" NA
"" "餐還" NA
"" "票" NA
"" "此行" NA
"" "格外" NA
"" "當地" NA
"" "包覆" NA
"" "多數" NA
"" "恰到好處" NA
"" "下午" NA
"" "小到" NA
"" "時刻" NA
"" "空間感" NA
"" "多一點" NA
"" "過得" NA
"" "遊玩" NA
"" "去電" NA
"" "搭程" NA
"" "裡" NA
"" "異味" NA
"" "暈機" NA
"" "膝蓋" NA
"" "至少" NA
"" "拳頭" NA
"" "帶本" NA
"" "對比" NA
"" "四月份" NA
"" "爛爛" NA
"" "槽" NA
"" "驚豔" NA
"" "偷偷" NA
"" "其他同學" NA
"" "總有" NA
"" "提示" NA
"" "對話" NA
"" "贅字" NA
"" "語氣" NA
"" "常遠" NA
"" "影視娛樂" NA
"" "音調" NA
"" "不擠" NA
"" "地用" NA
"" "高姿態" NA
"" "這種" NA
"" "陳" NA
"" "停留" NA
"" "罷" NA
"" "所" NA
"" "擔心" NA
"" "操刀" NA
"" "客艙" NA
"" "奢華" NA
"" "裝飾" NA
"" "大方" NA
"" "購物" NA
"" "菜色" NA
"" "一大" NA
"" "海外" NA
"" "參訪" NA
"" "一餐" NA
"" "在乎" NA
"" "解釋" NA
"" "賓至如歸" NA
"" "結尾" NA
"" "習以" NA
"" "為常" NA
"" "悠哉" NA
"" "慶生" NA
"" "客" NA
"" "十二萬分" NA
"" "面帶" NA
"" "團隊" NA
"" "負擔" NA
"" "烤" NA
"" "不多" NA
"" "分" NA
"" "上述" NA
"" "還碰" NA
"" "開放" NA
"" "較優" NA
"" "晃眼" NA
"" "有信" NA
"" "關乎" NA
"" "些" NA
"" "意願" NA
"" "供選擇" NA
"" "超越" NA
"" "拍拍手" NA
"" "數" NA
"" "熟練" NA
"" "帶回" NA
"" "準時到達" NA
"" "剩" NA
"" "常" NA
"" "人們" NA
"" "說真的" NA
"" "外圍" NA
"" "以前" NA
"" "最好" NA
"" "優質服務" NA
"" "購得" NA
"" "不論" NA
"" "拓展" NA
"" "佈局" NA
"" "前進" NA
"" "中停" NA
"" "我是" NA
"" "起飛前" NA
"" "發" NA
"" "擺設" NA
"" "解決" NA
"" "久聞" NA
"" "好幾杯" NA
"" "兩餐" NA
"" "新蓋" NA
"" "深刻" NA
"" "伸腳" NA
"" "如上" NA
"" "高雄到" NA
"" "認為" NA
"" "短" NA
"" "驚奇" NA
"" "一併" NA
"" "太硬" NA
"" "掛" NA
"" "靈敏" NA
"" "內部" NA
"" "打包" NA
"" "泡" NA
"" "美" NA
"" "請空" NA
"" "加熱" NA
"" "筷" NA
"" "有問必答" NA
"" "太棒" NA
"" "總算" NA
"" "好開心" NA
"" "兩岸" NA
"" "貼紙" NA
"" "航司" NA
"" "舒心" NA
"" "被迫" NA
"" "潛艇" NA
"" "燻雞" NA
"" "供給" NA
"" "聊天" NA
"" "成功" NA
"" "友人" NA
"" "還沒卸" NA
"" "點選" NA
"" "當日" NA
"" "洛杉機" NA
"" "之遙" NA
"" "從小到大" NA
"" "擁有" NA
"" "多年" NA
"" "墊" NA
"" "旅途" NA
"" "之鷹" NA
"" "不在話下" NA
"" "放到" NA
"" "兩位" NA
"" "奮力" NA
"" "出" NA
"" "英辯" NA
"" "竟" NA
"" "二次" NA
"" "靈活" NA
"" "誤差" NA
"" "阿提" NA
"" "清理" NA
"" "前帶" NA
"" "五星" NA
"" "鼓勵" NA
"" "有時候" NA
"" "近年" NA
"" "划算" NA
"" "優的" NA
"" "前有" NA
"" "包括" NA
"" "唷" NA
"" "拖著" NA
"" "情感" NA
"" "四天" NA
"" "一霎那" NA
"" "各個" NA
"" "魯肉" NA
"" "稍微" NA
"" "減少" NA
"" "哈德" NA
"" "小燈" NA
"" "最多" NA
"" "初次" NA
"" "意圖" NA
"" "身軀" NA
"" "感恩" NA
"" "心安" NA
"" "離家近" NA
"" "躺" NA
"" "達到" NA
"" "中途" NA
"" "記得" NA
"" "使人" NA
"" "做過" NA
"" "下降" NA
"" "近期" NA
"" "不爽" NA
"" "傳承" NA
"" "從掛" NA
"" "劃位" NA
"" "坐在" NA
"" "島" NA
"" "傷感" NA
"" "經理" NA
"" "巡航" NA
"" "-8" NA
